county_id,prec_id,total_votes,pct_latino,pct_trump,pct_clinton,state
201,2010777,307.0,0.892974238875878,0.231270358306189,0.729641693811075,tx
201,2010779,423.0,0.91318553092182,0.212765957446809,0.709219858156028,tx
201,2010780,300.0,0.823319982198487,0.32,0.64,tx
201,2010781,1853.0,0.625088673445259,0.273070696168376,0.671343766864544,tx
201,2010782,1417.0,0.213592233009709,0.52787579393084,0.396612561750176,tx
201,2010783,287.0,0.354248366013072,0.0592334494773519,0.895470383275261,tx
201,2010784,527.0,0.221757322175732,0.0208728652751423,0.952561669829222,tx
201,2010785,1593.0,0.700435729847495,0.456371625863151,0.465787821720025,tx
201,2010786,574.0,0.85549275006144,0.290940766550523,0.64808362369338,tx
201,2010787,263.0,0.822892498066512,0.258555133079848,0.661596958174905,tx
201,2010788,2.0,0.630690161527166,1.0,0.0,tx
201,2010789,1800.0,0.0,0.527222222222222,0.416111111111111,tx
201,2010790,1472.0,1.0,0.296875,0.638586956521739,tx
201,2010791,12.0,0.0,0.0833333333333333,0.75,tx
201,2010792,1063.0,0.764574547258745,0.22107243650047,0.733772342427093,tx
201,2010793,1401.0,0.652416592667766,0.473233404710921,0.474660956459672,tx
201,2010794,1037.0,0.537230400547758,0.0829315332690453,0.859209257473481,tx
201,2010795,398.0,0.878501916838691,0.248743718592965,0.71356783919598,tx
201,2010796,1838.0,0.633869441816462,0.354733405875952,0.582698585418934,tx
201,2010798,365.0,0.551326412918108,0.326027397260274,0.605479452054794,tx
201,2010799,84.0,0.456185567010309,0.154761904761905,0.80952380952381,tx
201,2010800,2668.0,0.206822003362959,0.550599700149925,0.379310344827586,tx
201,2010801,134.0,0.703989703989704,0.298507462686567,0.656716417910448,tx
201,2010802,75.0,0.205014749262537,0.2,0.666666666666667,tx
201,2010803,3219.0,0.14805133079847899,0.623485554520037,0.320285803044424,tx
201,2010804,3386.0,0.335249510763209,0.471647962197283,0.469580626107501,tx
201,2010805,2055.0,0.101637492941841,0.70705596107056,0.224817518248175,tx
201,2010807,1150.0,0.380441741357234,0.142608695652174,0.794782608695652,tx
201,2010808,200.0,0.162962962962963,0.225,0.625,tx
201,2010809,26.0,0.762264150943396,0.461538461538462,0.5,tx
201,2010810,78.0,0.923430321592649,0.141025641025641,0.82051282051282,tx
201,2010811,150.0,0.912479740680713,0.186666666666667,0.786666666666667,tx
201,2010813,2181.0,0.444776824372196,0.385602934433746,0.556625401192114,tx
201,2010814,2803.0,0.316766638103399,0.176596503745986,0.77702461648234,tx
201,2010816,33.0,0.879194630872483,0.0909090909090909,0.848484848484849,tx
201,2010818,313.0,0.462144155057541,0.185303514376997,0.763578274760383,tx
201,2010819,144.0,0.0652818991097923,0.381944444444444,0.569444444444444,tx
201,2010821,550.0,0.788564376799671,0.101818181818182,0.843636363636364,tx
201,2010822,756.0,0.363672028246371,0.0357142857142857,0.923280423280423,tx
201,2010823,1749.0,0.350457875457875,0.488279016580903,0.452830188679245,tx
201,2010824,1469.0,0.544203700774949,0.191286589516678,0.756977535738598,tx
201,2010826,247.0,0.121703853955375,0.40080971659919,0.530364372469636,tx
201,2010827,452.0,0.844687232219366,0.289823008849558,0.641592920353982,tx
201,2010828,1457.0,0.0770766773162939,0.683596431022649,0.240905971173644,tx
201,2010829,121.0,0.116331096196868,0.247933884297521,0.685950413223141,tx
201,2010832,175.0,0.722395023328149,0.222857142857143,0.754285714285714,tx
201,2010833,5.0,0.695652173913043,0.4,0.6,tx
201,2010835,158.0,0.679886685552408,0.240506329113924,0.715189873417722,tx
201,2010836,128.0,0.703125,0.0859375,0.90625,tx
201,2010839,593.0,0.400854981913844,0.175379426644182,0.738617200674536,tx
201,2010840,1060.0,0.454907975460123,0.3,0.633962264150943,tx
201,2010842,1854.0,0.506709608158884,0.352211434735707,0.584142394822006,tx
201,2010844,4.0,1.0,0.0,1.0,tx
201,2010845,165.0,0.28087986463621,0.593939393939394,0.357575757575758,tx
201,2010846,83.0,0.5275,0.0240963855421687,0.927710843373494,tx
201,2010847,1323.0,0.470156279420072,0.226001511715797,0.718820861678005,tx
201,2010848,1216.0,0.346464646464646,0.275493421052632,0.660361842105263,tx
201,2010849,1186.0,0.769134515119917,0.236930860033727,0.698988195615514,tx
201,2010850,148.0,0.525735294117647,0.337837837837838,0.614864864864865,tx
201,2010851,2329.0,0.235366302613818,0.615285530270502,0.316874194933448,tx
201,2010853,2128.0,0.0713114754098361,0.661184210526316,0.265507518796992,tx
201,2010854,59.0,0.680084745762712,0.11864406779661,0.830508474576271,tx
201,2010855,9.0,0.330578512396694,0.555555555555556,0.222222222222222,tx
201,2010858,157.0,0.13894324853229,0.0254777070063694,0.949044585987261,tx
201,2010859,534.0,0.470385278895917,0.192883895131086,0.737827715355805,tx
201,2010861,1050.0,0.447064371610469,0.15047619047619,0.808571428571429,tx
201,2010863,256.0,0.161640530759952,0.046875,0.9296875,tx
201,2010864,1267.0,0.739934872705743,0.187056037884767,0.760852407261247,tx
201,2010865,11.0,0.0,0.0,0.909090909090909,tx
201,2010868,1232.0,0.652695595003287,0.24025974025974,0.708603896103896,tx
201,2010869,221.0,0.631877729257642,0.113122171945701,0.846153846153846,tx
201,2010871,3.0,1.0,0.0,0.666666666666667,tx
201,2010872,22.0,0.706806282722513,0.545454545454545,0.454545454545455,tx
201,2010873,407.0,0.366467859509609,0.211302211302211,0.749385749385749,tx
201,2010874,2353.0,0.135248773651016,0.648958776030599,0.281342966425839,tx
201,2010875,2455.0,0.414071008494881,0.415071283095723,0.525050916496945,tx
201,2010876,2527.0,0.187521426122729,0.628413138108429,0.30787495053423,tx
201,2010877,2335.0,0.373012869038607,0.333618843683084,0.609850107066381,tx
201,2010878,795.0,0.107773851590106,0.733333333333333,0.216352201257862,tx
201,2010880,1829.0,0.213380091718371,0.665937670858393,0.261891744122471,tx
201,2010881,3396.0,0.502183103472174,0.23321554770318,0.711719670200236,tx
201,2010882,2553.0,0.306031604718451,0.256169212690952,0.692126909518214,tx
201,2010883,3182.0,0.531813517079607,0.151477058453803,0.801068510370836,tx
201,2010884,204.0,0.538712306438468,0.132352941176471,0.808823529411765,tx
201,2010885,1898.0,0.230916436317244,0.520021074815595,0.432560590094837,tx
201,2010886,651.0,0.18141592920354,0.370199692780338,0.509984639016897,tx
201,2010887,334.0,0.140522875816993,0.37125748502994,0.544910179640719,tx
