total_votes,pct_latino,pct_trump,pct_clinton,state
483.0,0.2272,0.573498965,0.403726708,fl
1050.0,0.419354839,0.478095238,0.496190476,fl
1664.0,0.250213129,0.557091346,0.421875,fl
1574.0,0.447871416,0.35133418,0.620711563,fl
1929.0,0.333840883,0.460342146,0.518403318,fl
1319.0,0.198850575,0.53070508,0.443517817,fl
1475.0,0.361504907,0.313898305,0.65559322,fl
965.0,0.397831526,0.312953368,0.668393782,fl
2612.0,0.394145476,0.402756508,0.572358346,fl
36.0,0.291666667,0.555555556,0.444444444,fl
1441.0,0.529958678,0.285218598,0.680777238,fl
1707.0,0.598203348,0.278265964,0.678383128,fl
2048.0,0.594575555,0.260742188,0.706542969,fl
713.0,0.450056117,0.328190743,0.639551192,fl
1135.0,0.448807854,0.276651982,0.695154185,fl
1834.0,0.494785148,0.235005453,0.730098146,fl
1717.0,0.572567783,0.20209668,0.761211415,fl
646.0,0.533557047,0.283281734,0.682662539,fl
1332.0,0.494821634,0.327327327,0.65015015,fl
2352.0,0.466822274,0.403911565,0.569302721,fl
1323.0,0.240866873,0.315948602,0.651549509,fl
1179.0,0.418678526,0.477523325,0.4927905,fl
1156.0,0.202694035,0.452422145,0.521626298,fl
1176.0,0.234455959,0.454931973,0.521258503,fl
2464.0,0.220401338,0.243912338,0.727678571,fl
939.0,0.217774219,0.314164004,0.663471778,fl
1844.0,0.551965745,0.413232104,0.559110629,fl
1247.0,0.41810842,0.247794707,0.730553328,fl
2224.0,0.360677966,0.225719424,0.741007194,fl
707.0,0.268899522,0.254596888,0.715700141,fl
345.0,0.29587156,0.408695652,0.571014493,fl
1343.0,0.417910448,0.269545793,0.692479523,fl
2542.0,0.417966493,0.223839496,0.745082612,fl
1344.0,0.361066667,0.238095238,0.722470238,fl
676.0,0.482978723,0.235207101,0.718934911,fl
275.0,0.06424581,0.523636364,0.461818182,fl
2110.0,0.299710774,0.379620853,0.588625592,fl
5286.0,0.517226277,0.375141884,0.583806281,fl
1.0,1.0,0.0,1.0,fl
1158.0,0.330594185,0.486183074,0.490500864,fl
1.0,0.5,0.0,1.0,fl
441.0,0.400690846,0.140589569,0.827664399,fl
1183.0,0.150515464,0.469146238,0.511411665,fl
3698.0,0.317286073,0.173336939,0.782314765,fl
1834.0,0.264792279,0.370229008,0.597600872,fl
2754.0,0.283200908,0.399419027,0.579520697,fl
2306.0,0.319830121,0.333911535,0.639202082,fl
62.0,0.590361446,0.161290323,0.790322581,fl
1149.0,0.286557377,0.321148825,0.651871192,fl
978.0,0.487964989,0.285276074,0.674846626,fl
657.0,0.5,0.283105023,0.680365297,fl
1679.0,0.536213469,0.237045861,0.741512805,fl
1699.0,0.368114644,0.332548558,0.6433196,fl
1209.0,0.302899445,0.280397022,0.693134822,fl
2425.0,0.31495059,0.312989691,0.663917526,fl
391.0,0.349236641,0.314578005,0.677749361,fl
